Sistematic name,Gene name,RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008],RS (min) [Wang et al. 2002],TR indirect (mol/min) w/o dilution correction,TR (mol/min) w/o dilution correction,TR indirect (mol/min) dilution corrected,TR (mol/min) dilution corrected,RNA pol II density (per kb),RNA pol II  presence (per gene)
YNL110C,NOP15,4.1308,9,0.3181,0.2742,0.3435,0.3217,0.2145,0.1420
YNL111C,CYB5,1.0567,12,0.0610,0.2410,0.0675,0.2827,0.1885,0.0682
YNL112W,DBP2,4.8674,10,0.3374,0.5949,0.3672,0.6979,0.4653,1.2293
YNL113W,RPC19,4.4511,7,0.4407,,0.4681,,,
YNL114C,,,6,,,,,,
YNL115C,,0.5764,23,0.0174,0.0452,0.0209,0.0531,0.0354,0.0684
YNL116W,DMA2,0.2562,14,0.0127,0.0827,0.0143,0.0970,0.0647,0.1014
YNL117W,MLS1,0.1921,30,0.0044,0.0307,0.0056,0.0360,0.0240,0.0399
YNL118C,DCP2,7.2370,24,0.2090,0.1992,0.2534,0.2336,0.1558,0.4536
YNL119W,NCS2,0.2882,21,0.0095,0.0603,0.0113,0.0708,0.0472,0.0699
YNL120C,,,41,,0.0653,,0.0767,0.0511,0.0248
YNL121C,TOM70,2.4977,9,0.1924,0.0850,0.2077,0.0997,0.0665,0.1232
YNL122C,,3.9387,19,0.1437,0.1213,0.1679,0.1423,0.0949,0.0329
YNL123W,NMA111,0.7365,25,0.0204,0.3655,0.0249,0.4288,0.2859,0.8556
YNL124W,NAF1,0.6725,7,0.0666,0.3154,0.0707,0.3700,0.2466,0.3645
YNL125C,ESBP6,1.0247,26,0.0273,0.0761,0.0336,0.0893,0.0595,0.1203
YNL126W,SPC98,0.2562,11,0.0161,0.0427,0.0177,0.0501,0.0334,0.0849
YNL127W,FAR11,0.6404,,,0.0655,,0.0769,0.0513,0.1466
YNL128W,TEP1,0.1921,,,0.1588,,0.1863,0.1242,0.1620
YNL129W,NRK1,3.0101,22,0.0948,0.0524,0.1133,0.0615,0.0410,0.0296
YNL130C,CPT1,2.0494,27,0.0526,0.0512,0.0652,0.0601,0.0400,0.0510
YNL130C-A,,0.1921,,,,,,,
YNL131W,TOM22,5.3797,14,0.2664,0.1218,0.2994,0.1429,0.0953,0.0436
YNL132W,KRE33,1.2489,12,0.0721,0.3141,0.0798,0.3684,0.2456,0.7786
YNL133C,FYV6,0.1281,,,0.0474,,0.0556,0.0371,0.0193
YNL134C,,5.3797,21,0.1776,0.1221,0.2106,0.1433,0.0955,0.1079
YNL135C,FPR1,52.7083,41,0.8911,0.2426,1.2144,0.2846,0.1898,0.0653
YNL136W,EAF7,1.1208,18,0.0432,0.1417,0.0500,0.1663,0.1108,0.1415
YNL137C,NAM9,5.4437,11,0.3430,0.0934,0.3764,0.1096,0.0731,0.1067
YNL138W,SRV2,4.2910,37,0.0804,0.1626,0.1067,0.1907,0.1272,0.2009
YNL138W-A,YSF3,2.4977,,,,,,,
YNL139C,RLR1,,23,,,,,,
YNL140C,,,24,,0.1538,,0.1805,0.1203,0.0685
YNL141W,AAH1,2.6258,9,0.2022,0.1264,0.2183,0.1483,0.0988,0.1031
YNL142W,MEP2,0.4163,28,0.0103,0.0959,0.0129,0.1126,0.0750,0.1125
YNL143C,,0.1281,51,0.0017,0.0867,0.0025,0.1017,0.0678,0.0266
YNL144C,,0.8646,44,0.0136,0.0478,0.0189,0.0561,0.0374,0.0830
YNL144W-A,,,,,,,,,
YNL145W,MFA2,20.9424,32,0.4536,1.1857,0.5821,1.3910,0.9273,0.1076
YNL146C-A,,,,,,,,,
YNL146W,,0.0640,32,0.0014,,0.0018,,,
YNL147W,LSM7,,14,,0.1046,,0.1227,0.0818,0.0362
YNL148C,ALF1,1.0247,21,0.0338,0.1881,0.0401,0.2207,0.1471,0.1124
YNL149C,PGA2,,19,,0.5430,,0.6370,0.4247,0.1652
YNL150W,,,18,,0.3352,,0.3932,0.2622,0.1067
YNL151C,RPC31,1.1208,10,0.0777,0.0906,0.0846,0.1063,0.0709,0.0535
YNL152W,,0.5764,18,0.0222,0.1308,0.0257,0.1534,0.1023,0.1257
YNL153C,GIM3,3.2662,8,0.2830,0.2056,0.3030,0.2412,0.1608,0.0626
YNL154C,YCK2,2.4017,8,0.2081,0.1826,0.2228,0.2142,0.1428,0.2342
YNL155W,,7.1409,34,0.1456,0.1298,0.1894,0.1523,0.1015,0.0837
YNL156C,NSG2,5.2836,42,0.0872,0.1213,0.1196,0.1423,0.0949,0.0853
YNL157W,,6.9808,,,0.1916,,0.2248,0.1498,0.0758
YNL158W,PGA1,0.4803,29,0.0115,0.0821,0.0144,0.0963,0.0642,0.0383
YNL159C,ASI2,1.0247,52,0.0137,0.0798,0.0199,0.0936,0.0624,0.0542
YNL160W,YGP1,9.3504,91,0.0712,0.1190,0.1286,0.1396,0.0931,0.0990
YNL161W,CBK1,1.5371,16,0.0666,0.1142,0.0760,0.1339,0.0893,0.2027
YNL162W,RPL42A,20.3660,24,0.5882,0.7552,0.7131,0.8860,0.5907,0.4914
YNL162W-A,,0.2882,,,,,,,
YNL163C,RIA1,0.6404,12,0.0370,0.1400,0.0409,0.1642,0.1095,0.3647
YNL164C,IBD2,1.0247,,,0.1236,,0.1450,0.0966,0.1020
YNL165W,,1.2168,,,0.2747,,0.3222,0.2148,0.2621
YNL166C,BNI5,1.3769,12,0.0795,0.1309,0.0880,0.1536,0.1024,0.1378
YNL167C,SKO1,2.1135,24,0.0610,0.0961,0.0740,0.1127,0.0751,0.1460
YNL168C,,3.3303,18,0.1282,0.1310,0.1487,0.1537,0.1025,0.0798
YNL169C,PSD1,,,,0.0290,,0.0340,0.0227,0.0341
YNL170W,,,,,0.0662,,0.0777,0.0518,0.0205
YNL171C,,,,,0.0662,,0.0777,0.0518,0.0191
YNL172W,APC1,,,,,,,,
YNL173C,MDG1,1.0247,,,0.0770,,0.0903,0.0602,0.0662
YNL174W,,,,,0.0831,,0.0975,0.0650,0.0372
YNL175C,NOP13,5.5078,,,0.0152,,0.0179,0.0119,0.0144
YNL176C,,0.8966,,,0.0833,,0.0977,0.0651,0.1244
YNL177C,MRPL22,1.6331,11,0.1029,0.1204,0.1129,0.1412,0.0942,0.0875
YNL178W,RPS3,85.4028,,,0.3879,,0.4551,0.3034,0.2191
YNL179C,,,,,0.0883,,0.1036,0.0691,0.0302
YNL180C,RHO5,,,,0.1663,,0.1950,0.1300,0.1294
YNL181W,,,,,0.0631,,0.0740,0.0494,0.0604
YNL182C,IPI3,1.3449,,,,,,,
YNL183C,NPR1,1.5050,13,0.0802,0.0429,0.0895,0.0503,0.0335,0.0796
YNL184C,,,,,0.1002,,0.1176,0.0784,0.0255
YNL185C,MRPL19,1.4090,,,0.1184,,0.1389,0.0926,0.0441
YNL186W,UBP10,1.0887,8,0.0943,0.2425,0.1010,0.2845,0.1897,0.4511
YNL187W,,0.3843,,,0.1405,,0.1648,0.1099,0.1179
YNL188W,KAR1,2.3376,,,0.0971,,0.1139,0.0759,0.0988
YNL189W,SRP1,2.7859,41,0.0471,0.1097,0.0642,0.1286,0.0858,0.1396
YNL190W,,3.6825,13,0.1963,0.5102,0.2189,0.5985,0.3990,0.2450
YNL191W,,2.9460,,,0.1032,,0.1211,0.0807,0.0866
YNL192W,CHS1,4.8353,14,0.2394,0.0980,0.2691,0.1150,0.0767,0.2603
YNL193W,,1.2168,,,0.0502,,0.0589,0.0393,0.0658
YNL194C,,0.3522,,,0.0309,,0.0362,0.0241,0.0219
YNL195C,,0.8006,,,0.0274,,0.0322,0.0215,0.0168
YNL196C,,0.1281,,,0.0461,,0.0540,0.0360,0.0323
YNL197C,WHI3,1.2168,15,0.0562,0.1925,0.0637,0.2258,0.1505,0.2988
YNL198C,,,29,,,,,,
YNL199C,GCR2,4.1949,14,0.2077,0.1053,0.2334,0.1236,0.0824,0.1322
YNL200C,,5.0275,39,0.0894,0.0397,0.1202,0.0466,0.0311,0.0230
YNL201C,PSY2,1.2168,16,0.0527,0.1253,0.0602,0.1470,0.0980,0.2524
YNL202W,SPS19,1.9854,,,0.0423,,0.0497,0.0331,0.0291
YNL203C,,0.0640,19,0.0023,0.0346,0.0027,0.0406,0.0270,0.0165
YNL204C,SPS18,,50,,0.0427,,0.0500,0.0334,0.0301
YNL205C,,,22,,0.0472,,0.0554,0.0370,0.0156
YNL206C,RTT106,0.7045,12,0.0407,0.0458,0.0450,0.0537,0.0358,0.0489
YNL207W,RIO2,2.3376,,,0.0827,,0.0970,0.0647,0.0826
YNL208W,,14.8903,84,0.1229,0.4250,0.2142,0.4985,0.3324,0.1991
YNL209W,SSB2,13.8335,33,0.2906,0.6232,0.3754,0.7311,0.4874,0.8973
YNL210W,MER1,0.0640,,,0.0731,,0.0858,0.0572,0.0464
YNL211C,,0.5764,30,0.0133,,0.0169,,,
YNL212W,VID27,2.3056,12,0.1332,0.0671,0.1473,0.0788,0.0525,0.1233
YNL213C,,1.4090,,,0.1230,,0.1442,0.0962,0.0619
YNL214W,PEX17,0.5124,17,0.0209,0.0615,0.0240,0.0721,0.0481,0.0288
YNL215W,IES2,3.3943,15,0.1569,0.1563,0.1777,0.1833,0.1222,0.1176
YNL216W,RAP1,0.4803,,,0.1656,,0.1942,0.1295,0.3215
YNL217W,,8.5179,11,0.5367,0.1654,0.5890,0.1940,0.1293,0.1267
YNL218W,MGS1,0.5764,,,,,,,
YNL219C,ALG9,1.7612,11,0.1110,0.0426,0.1218,0.0500,0.0333,0.0556
YNL220W,ADE12,9.9909,,,0.0875,,0.1027,0.0685,0.0891
YNL221C,POP1,1.6651,28,0.0412,0.1768,0.0514,0.2074,0.1383,0.3632
YNL222W,SSU72,1.4410,,,0.1139,,0.1336,0.0891,0.0552
YNL223W,ATG4,0.6404,,,0.0738,,0.0866,0.0577,0.0857
YNL224C,,0.6404,,,0.1051,,0.1233,0.0822,0.1893
YNL225C,CNM67,,26,,0.0809,,0.0948,0.0632,0.1103
YNL226W,,,,,0.0725,,0.0850,0.0567,0.0232
YNL227C,JJJ1,,,,0.0828,,0.0972,0.0648,0.1148
YNL228W,,,10,,0.0717,,0.0841,0.0561,0.0435
YNL229C,URE2,0.7365,15,0.0340,0.1648,0.0386,0.1933,0.1289,0.1371
YNL230C,ELA1,0.3843,21,0.0127,,0.0150,,,
YNL231C,PDR16,4.2910,8,0.3718,0.3131,0.3981,0.3673,0.2449,0.2583
YNL232W,CSL4,2.1455,5,0.2974,0.1676,0.3106,0.1966,0.1310,0.1151
YNL233W,BNI4,1.0567,21,0.0349,,0.0414,,,
YNL234W,,0.3202,,,0.0861,,0.1010,0.0673,0.0862
YNL235C,,,46,,0.1082,,0.1269,0.0846,0.0365
YNL236W,SIN4,,18,,,,,,
YNL237W,YTP1,0.0640,33,0.0013,0.0726,0.0017,0.0852,0.0568,0.0784
YNL238W,KEX2,1.2809,8,0.1110,0.1839,0.1188,0.2157,0.1438,0.3515
YNL239W,LAP3,3.3623,59,0.0395,0.0738,0.0601,0.0866,0.0577,0.0787
YNL240C,NAR1,2.2095,11,0.1392,0.1487,0.1528,0.1745,0.1163,0.1716
YNL241C,ZWF1,5.2516,15,0.2427,0.1059,0.2749,0.1242,0.0828,0.1256
YNL242W,ATG2,0.1281,60,0.0015,,0.0023,,,
YNL243W,SLA2,3.2983,30,0.0762,0.1454,0.0964,0.1705,0.1137,0.3304
YNL244C,SUI1,16.8116,14,0.8323,0.3174,0.9355,0.3723,0.2482,0.0809
YNL245C,CWC25,,22,,,,,,
YNL246W,VPS75,,25,,0.1637,,0.1921,0.1280,0.1138
YNL247W,,8.2937,29,0.1982,0.1130,0.2491,0.1325,0.0884,0.2035
YNL248C,RPA49,3.1702,7,0.3139,,0.3334,,,
YNL249C,MPA43,,38,,0.0712,,0.0835,0.0557,0.0906
YNL250W,RAD50,,22,,,,,,
YNL251C,NRD1,2.0494,,,0.3211,,0.3767,0.2511,0.4337
YNL252C,MRPL17,1.8253,11,0.1150,0.1593,0.1262,0.1869,0.1246,0.1053
YNL253W,TEX1,0.8326,21,0.0275,,0.0326,,,
YNL254C,,0.5444,11,0.0343,0.0758,0.0376,0.0889,0.0593,0.0714
YNL255C,GIS2,37.0495,9,2.8534,0.4210,3.0807,0.4938,0.3292,0.1518
YNL256W,FOL1,12.5847,9,0.9692,0.1239,1.0464,0.1454,0.0969,0.2398
YNL257C,SIP3,1.4090,23,0.0425,0.0479,0.0511,0.0562,0.0375,0.1383
YNL258C,DSL1,1.9854,9,0.1529,0.1070,0.1651,0.1255,0.0837,0.1894
YNL259C,ATX1,4.7393,24,0.1369,,0.1659,,,
YNL260C,,0.6404,,,,,,,
YNL261W,ORC5,1.8573,22,0.0585,,0.0699,,,
YNL262W,POL2,1.6331,,,0.0525,,0.0616,0.0410,0.2737
YNL263C,YIF1,5.0595,15,0.2338,0.0547,0.2648,0.0642,0.0428,0.0404
YNL264C,PDR17,2.4977,15,0.1154,0.0877,0.1307,0.1028,0.0686,0.0721
YNL265C,IST1,,23,,0.1002,,0.1175,0.0784,0.0784
YNL266W,,,24,,0.0919,,0.1078,0.0718,0.0301
YNL267W,PIK1,,16,,0.1984,,0.2328,0.1552,0.4966
YNL268W,LYP1,3.1061,9,0.2392,0.4326,0.2583,0.5075,0.3383,0.6209
YNL269W,BSC4,0.0640,39,0.0011,,0.0015,,,
YNL270C,ALP1,0.0640,17,0.0026,0.0251,0.0030,0.0294,0.0196,0.0338
YNL271C,BNI1,1.3769,,,0.2012,,0.2360,0.1573,0.9222
YNL272C,SEC2,0.7685,19,0.0280,0.0838,0.0328,0.0983,0.0655,0.1493
YNL273W,TOF1,0.2562,27,0.0066,0.0302,0.0081,0.0355,0.0236,0.0878
YNL274C,,2.1775,128,0.0118,0.0496,0.0251,0.0582,0.0388,0.0408
YNL275W,,0.8646,,,0.0417,,0.0489,0.0326,0.0564
YNL276C,,,21,,0.1216,,0.1427,0.0951,0.0376
YNL277W,MET2,,38,,0.1641,,0.1925,0.1284,0.1874
YNL277W-A,,0.1281,,,,,,,
YNL278W,CAF120,0.0640,10,0.0044,0.1404,0.0048,0.1647,0.1098,0.3493
YNL279W,PRM1,0.1281,,,,,,,
YNL280C,ERG24,4.8674,16,0.2109,0.1031,0.2407,0.1209,0.0806,0.1061
YNL281W,HCH1,6.3724,67,0.0659,,0.1050,,,
YNL282W,POP3,0.3843,7,0.0381,0.2809,0.0404,0.3296,0.2197,0.1290
YNL283C,WSC2,4.0028,9,0.3083,,0.3328,,,
YNL284C,MRPL10,2.2095,12,0.1276,0.0828,0.1412,0.0971,0.0647,0.0627
YNL285W,,,73,,,,,,
YNL286W,CUS2,,,,0.0613,,0.0720,0.0480,0.0411
YNL287W,SEC21,6.5645,31,0.1468,0.0858,0.1870,0.1006,0.0671,0.1883
YNL288W,CAF40,1.4730,14,0.0729,0.1895,0.0820,0.2223,0.1482,0.1661
YNL289W,PCL1,0.8966,,,0.0426,,0.0500,0.0333,0.0279
YNL290W,RFC3,2.4977,11,0.1574,0.1630,0.1727,0.1912,0.1275,0.1303
YNL291C,MID1,0.8646,9,0.0666,0.0437,0.0719,0.0513,0.0342,0.0563
YNL292W,PUS4,2.5618,10,0.1776,0.1434,0.1933,0.1682,0.1121,0.1358
YNL293W,MSB3,0.9286,26,0.0248,0.0789,0.0305,0.0925,0.0617,0.1172
YNL294C,RIM21,3.6505,23,0.1100,,0.1324,,,
YNL295W,,0.7045,24,0.0203,0.1887,0.0247,0.2213,0.1475,0.2322
YNL296W,,,41,,,,,,
YNL297C,MON2,2.0494,33,0.0430,,0.0556,,,
YNL298W,CLA4,0.7685,12,0.0444,0.1155,0.0491,0.1355,0.0903,0.2283
YNL299W,TRF5,0.3202,18,0.0123,0.1009,0.0143,0.1184,0.0789,0.1521
YNL300W,,3.8426,23,0.1158,0.0778,0.1394,0.0913,0.0609,0.0187
YNL301C,RPL18B,,23,,0.5768,,0.6766,0.4511,0.4475
YNL302C,RPS19B,,20,,0.4042,,0.4742,0.3161,0.3114
YNL303W,,39.2590,21,1.2958,,1.5366,,,
YNL304W,YPT11,,31,,0.0576,,0.0676,0.0451,0.0565
YNL305C,,,48,,0.0748,,0.0878,0.0585,0.0523
YNL306W,MRPS18,,7,,0.0959,,0.1125,0.0750,0.0490
YNL307C,MCK1,2.9460,14,0.1459,,0.1639,,,
YNL308C,KRI1,1.5691,9,0.1208,0.1966,0.1305,0.2307,0.1538,0.2730
YNL309W,STB1,0.1921,,,,,,,
YNL310C,ZIM17,2.1135,15,0.0977,0.0817,0.1106,0.0958,0.0639,0.0335
YNL311C,,0.5764,17,0.0235,,0.0270,,,
YNL312W,RFA2,2.3376,13,0.1246,0.0523,0.1390,0.0613,0.0409,0.0380
YNL313C,,,7,,0.0887,,0.1041,0.0694,0.1883
YNL314W,DAL82,,11,,0.0366,,0.0429,0.0286,0.0219
YNL315C,ATP11,2.5618,9,0.1973,0.1349,0.2130,0.1582,0.1055,0.1008
YNL316C,PHA2,,,,0.0902,,0.1058,0.0705,0.0708
YNL317W,PFS2,,5,,,,,,
YNL318C,HXT14,,41,,,,,,
YNL319W,,,,,,,,,
YNL320W,,,33,,0.0463,,0.0543,0.0362,0.0309
YNL321W,,0.6404,12,0.0370,,0.0409,,,
YNL322C,KRE1,6.1162,27,0.1570,0.2179,0.1945,0.2557,0.1704,0.1604
YNL323W,LEM3,1.0567,15,0.0488,,0.0553,,,
YNL324W,,,,,,,,,
YNL325C,FIG4,0.3843,,,0.0505,,0.0592,0.0395,0.1041
YNL326C,PFA3,1.1528,15,0.0533,0.0704,0.0603,0.0826,0.0550,0.0556
YNL327W,EGT2,3.4584,10,0.2397,1.2185,0.2609,1.4295,0.9530,2.9782
YNL328C,MDJ2,0.1281,,,0.1292,,0.1516,0.1011,0.0445
YNL329C,PEX6,0.8006,6,0.0925,0.1635,0.0974,0.1918,0.1279,0.3954
YNL330C,RPD3,1.5691,10,0.1088,,0.1184,,,
YNL331C,AAD14,0.9927,,,,,,,
YNL332W,THI12,,,,0.0080,,0.0094,0.0063,0.0064
YNL333W,SNZ2,,10,,,,,,
YNL334C,SNO2,,,,0.0309,,0.0362,0.0241,0.0161
YNL335W,,,20,,0.0321,,0.0377,0.0251,0.0170
YNL336W,COS1,,21,,,,,,
YNL337W,,,14,,,,,,
YNL338W,,,,,,,,,
YNL339C,YRF1-6,,14,,,,,,
YNL339W-A,,,,,,,,,
YNL339W-B,,,,,,,,,
YNR001C,CIT1,7.3010,103,0.0491,,0.0939,,,
YNR001W-A,,0.0640,,,,,,,
YNR002C,ATO2,0.5764,56,0.0071,0.0605,0.0107,0.0710,0.0473,0.0401
YNR003C,RPC34,,14,,,,,,
YNR003W-A,,,,,,,,,
YNR004W,,0.3843,52,0.0051,0.0478,0.0075,0.0560,0.0373,0.0164
YNR005C,,,30,,0.0733,,0.0860,0.0573,0.0232
YNR006W,VPS27,1.3129,28,0.0325,0.1067,0.0406,0.1252,0.0834,0.1559
YNR007C,ATG3,0.7365,30,0.0170,0.0822,0.0215,0.0964,0.0643,0.0599
YNR008W,LRO1,0.4483,14,0.0222,0.0648,0.0249,0.0760,0.0507,0.1006
YNR009W,NRM1,0.8966,8,0.0777,0.1048,0.0832,0.1230,0.0820,0.0614
YNR010W,CSE2,0.9927,45,0.0153,0.1940,0.0214,0.2276,0.1517,0.0681
YNR011C,PRP2,1.3129,10,0.0910,0.0667,0.0991,0.0782,0.0521,0.1371
YNR012W,URK1,,30,,0.0652,,0.0765,0.0510,0.0767
YNR013C,PHO91,,23,,0.0791,,0.0928,0.0619,0.1661
YNR014W,,1.6331,62,0.0183,0.0951,0.0283,0.1115,0.0743,0.0474
YNR015W,SMM1,0.6725,9,0.0518,0.1091,0.0559,0.1280,0.0853,0.0985
YNR016C,ACC1,7.2690,26,0.1938,0.3439,0.2384,0.4034,0.2690,1.8023
YNR017W,MAS6,3.7786,9,0.2910,,0.3142,,,
YNR018W,,2.6258,16,0.1138,0.2800,0.1299,0.3285,0.2190,0.1476
YNR019W,ARE2,0.2562,59,0.0030,0.1481,0.0046,0.1738,0.1158,0.2234
YNR020C,,0.1921,21,0.0063,0.0784,0.0075,0.0920,0.0613,0.0498
YNR021W,,4.3230,14,0.2140,0.0915,0.2406,0.1074,0.0716,0.0869
YNR022C,MRPL50,4.2269,20,0.1465,0.1865,0.1724,0.2188,0.1459,0.0611
YNR023W,SNF12,0.8006,,,0.1400,,0.1643,0.1095,0.1862
YNR024W,,,31,,0.1442,,0.1692,0.1128,0.0631
YNR025C,,,28,,0.0984,,0.1155,0.0770,0.0276
YNR026C,SEC12,1.1528,17,0.0470,0.1389,0.0541,0.1630,0.1087,0.1537
YNR027W,BUD17,1.6651,,,0.1281,,0.1503,0.1002,0.0955
YNR028W,CPR8,,,,0.0554,,0.0650,0.0433,0.0401
YNR029C,,,18,,0.0943,,0.1106,0.0737,0.0950
YNR030W,ALG12,3.2983,16,0.1429,0.0220,0.1631,0.0258,0.0172,0.0285
YNR031C,SSK2,0.9286,13,0.0495,0.1118,0.0552,0.1312,0.0875,0.4145
YNR032C-A,HUB1,2.3376,,,,,,,
YNR032W,PPG1,3.7146,27,0.0954,0.0856,0.1181,0.1005,0.0670,0.0741
YNR033W,ABZ1,0.8326,20,0.0289,,0.0340,,,
YNR034W,SOL1,1.1208,28,0.0277,0.1114,0.0346,0.1307,0.0871,0.0841
YNR034W-A,,16.2352,,,,,,,
YNR035C,ARC35,8.4538,32,0.1831,0.1309,0.2350,0.1536,0.1024,0.1052
YNR036C,,6.5965,15,0.3048,0.3950,0.3453,0.4634,0.3089,0.1424
YNR037C,RSM19,4.6112,17,0.1880,0.2295,0.2163,0.2692,0.1795,0.0494
YNR038W,DBP6,1.0247,,,,,,,
YNR039C,ZRG17,1.3129,14,0.0650,0.0673,0.0731,0.0789,0.0526,0.0956
YNR040W,,,,,,,,,
YNR041C,COQ2,,15,,0.1113,,0.1305,0.0870,0.0973
YNR042W,,,27,,0.1617,,0.1897,0.1265,0.0541
YNR043W,MVD1,6.5965,18,0.2540,0.1531,0.2945,0.1796,0.1198,0.1425
YNR044W,AGA1,0.9927,26,0.0265,0.1152,0.0326,0.1351,0.0901,0.1961
YNR045W,PET494,0.9607,10,0.0666,0.0340,0.0725,0.0399,0.0266,0.0391
YNR046W,TRM112,4.6112,9,0.3551,0.1749,0.3834,0.2052,0.1368,0.0557
YNR047W,,0.5124,,,0.1105,,0.1296,0.0864,0.2316
YNR048W,,0.7365,23,0.0222,0.0902,0.0267,0.1058,0.0705,0.0833
YNR049C,MSO1,1.3449,14,0.0666,0.1048,0.0748,0.1229,0.0820,0.0518
YNR050C,LYS9,2.6578,37,0.0498,0.0853,0.0661,0.1001,0.0667,0.0894
YNR051C,BRE5,2.4977,11,0.1574,0.0591,0.1727,0.0693,0.0462,0.0715
YNR052C,POP2,4.4190,12,0.2553,0.1331,0.2824,0.1562,0.1041,0.1355
YNR053C,NOG2,1.9533,15,0.0903,0.5144,0.1022,0.6035,0.4023,0.8011
YNR054C,ESF2,1.5691,8,0.1360,0.1985,0.1456,0.2328,0.1552,0.1475
YNR055C,HOL1,2.1135,24,0.0610,0.1713,0.0740,0.2009,0.1340,0.2358
YNR056C,BIO5,0.0640,42,0.0011,0.0503,0.0014,0.0590,0.0393,0.0663
YNR057C,BIO4,,43,,0.0440,,0.0516,0.0344,0.0245
YNR058W,BIO3,0.2882,55,0.0036,0.0757,0.0054,0.0888,0.0592,0.0853
YNR059W,MNT4,1.0567,17,0.0431,0.1014,0.0496,0.1189,0.0793,0.1381
YNR060W,FRE4,0.4163,28,0.0103,0.0437,0.0129,0.0513,0.0342,0.0738
YNR061C,,3.9067,17,0.1593,0.0478,0.1833,0.0561,0.0374,0.0247
YNR062C,,0.3202,34,0.0065,0.0594,0.0085,0.0696,0.0464,0.0456
YNR063W,,0.1921,28,0.0048,0.0637,0.0059,0.0747,0.0498,0.0908
YNR064C,,0.5764,,,0.0581,,0.0682,0.0454,0.0396
YNR065C,,0.4483,22,0.0141,0.0439,0.0169,0.0515,0.0343,0.1149
YNR066C,,,36,,,,,,
YNR067C,DSE4,2.2736,8,0.1970,0.4632,0.2109,0.5434,0.3623,1.2148
YNR068C,,0.5444,74,0.0051,0.0497,0.0084,0.0583,0.0389,0.0318
YNR069C,BSC5,0.3843,,,0.0797,,0.0935,0.0623,0.0916
YNR070W,,0.7045,40,0.0122,,0.0165,,,
YNR071C,,0.1921,37,0.0036,,0.0048,,,
YNR072W,HXT17,0.0640,44,0.0010,0.0178,0.0014,0.0209,0.0139,0.0236
YNR073C,,,47,,0.1906,,0.2236,0.1491,0.2248
YNR074C,AIF1,0.6404,18,0.0247,,0.0286,,,
YNR075C-A,,0.3202,,,,,,,
YNR075W,COS10,0.2562,37,0.0048,,0.0064,,,
YNR076W,PAU6,,,,0.0185,,0.0216,0.0144,0.0052
YNR077C,,,,,,,,,
YOL001W,PHO80,0.7365,35,0.0146,0.0584,0.0191,0.0685,0.0456,0.0402
YOL002C,IZH2,1.5050,,,0.1900,,0.2229,0.1486,0.1416
YOL003C,PFA4,1.5371,25,0.0426,,0.0520,,,
YOL004W,SIN3,1.8573,39,0.0330,,0.0444,,,
YOL005C,RPB11,4.8353,13,0.2578,0.3229,0.2875,0.3788,0.2525,0.0914
YOL006C,TOP1,0.7685,8,0.0666,0.1671,0.0713,0.1961,0.1307,0.3018
YOL007C,CSI2,1.0247,11,0.0646,0.1937,0.0709,0.2272,0.1515,0.1553
YOL008W,COQ10,0.6404,,,,,,,
YOL009C,MDM12,0.7365,12,0.0425,0.0500,0.0471,0.0587,0.0391,0.0319
YOL010W,RCL1,0.7685,8,0.0666,0.3360,0.0713,0.3942,0.2628,0.2899
YOL011W,PLB3,5.0595,,,0.1522,,0.1785,0.1190,0.2452
YOL012C,HTZ1,9.2223,12,0.5327,0.2195,0.5893,0.2575,0.1717,0.0694
YOL013C,HRD1,1.0567,23,0.0318,0.0739,0.0383,0.0867,0.0578,0.0956
YOL013W-A,,0.8966,,,,,,,
YOL013W-B,,,,,,,,,
YOL014W,,9.7027,11,0.6114,,0.6709,,,
YOL015W,,0.3202,62,0.0036,0.0289,0.0055,0.0339,0.0226,0.0398
YOL016C,CMK2,6.2443,19,0.2278,,0.2661,,,
YOL017W,ESC8,1.7292,,,,,,,
YOL018C,TLG2,1.2809,,,0.0892,,0.1046,0.0697,0.0832
YOL019W,,0.4803,,,0.1002,,0.1175,0.0783,0.1296
YOL019W-A,,0.0640,,,,,,,
YOL020W,TAT2,3.7466,,,0.3332,,0.3909,0.2606,0.4633
YOL021C,DIS3,3.1061,6,0.3588,0.1911,0.3779,0.2242,0.1495,0.4491
YOL022C,,2.4977,13,0.1332,0.0891,0.1485,0.1045,0.0697,0.0854
YOL023W,IFM1,0.5764,21,0.0190,,0.0226,,,
YOL024W,,0.1281,27,0.0033,,0.0041,,,
YOL025W,LAG2,0.5124,23,0.0154,0.0410,0.0186,0.0482,0.0321,0.0636
YOL026C,MIM1,1.9533,19,0.0713,,0.0832,,,
YOL027C,MDM38,3.7146,12,0.2146,0.1288,0.2373,0.1511,0.1007,0.1734
YOL028C,YAP7,0.6404,,,0.1423,,0.1670,0.1113,0.0820
YOL029C,,2.6578,29,0.0635,0.1726,0.0798,0.2025,0.1350,0.0817
YOL030W,GAS5,2.9781,22,0.0938,0.0768,0.1121,0.0901,0.0601,0.0874
YOL031C,SIL1,,14,,0.0776,,0.0910,0.0607,0.0767
YOL032W,OPI10,,,,,,,,
YOL033W,MSE1,0.5124,37,0.0096,0.0818,0.0127,0.0959,0.0639,0.1029
YOL034W,SMC5,0.4163,,,0.0652,,0.0765,0.0510,0.1672
YOL035C,,,32,,0.2175,,0.2551,0.1701,0.0514
